UT,Ack_text,Funders,Funders_Text,row_id
WOS:000233669500005,"Thanks to David Sloan Wilson, Elliott Sober, Peter Godfrey-Smith, Ben Kerr, John Damuth, Rick Michod, Denis Roze, Len Nunney, Lisa Lloyd, Brett Calcott and Melinda Fagan for comments and discussion, and to an anonymous referee for penetrating criticisms. Thanks to the AHRB and the Leverhulme Trust for financial support.",https://ror.org/012mzw131;https://ror.org/0505m1554,"Leverhulme Trust - United Kingdom (<a href=""https://ror.org/012mzw131"" target=""_blank"">https://ror.org/012mzw131</a>)<br>Arts and Humanities Research Council - United Kingdom (<a href=""https://ror.org/0505m1554"" target=""_blank"">https://ror.org/0505m1554</a>)",1
WOS:000233669500006,"Many thanks to Simon Blackburn, Edward Craig, Bob Hale and Jane Heal for help and advice on this topic. I am also indebted to audiences in Cambridge, Oxford and Belfast, and to two anonymous referees for this journal, whose invaluable comments led to major improvements in the final version.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],2
WOS:000233669500007,"Thanks to audiences at Oxford, Leeds, Princeton and the 2002 Australasian Association of Philosophy meeting in Christchurch; particular thanks to Paul Benacerraf, John Burgess, Adam Elga, Alan Hajek, Hans Halvorson, Lizzie Maughan and Bas van Fraassen for comments on earlier written versions",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],3
WOS:000233669500008,"Thanks to Maralee Harrell, Clark Glymour, and an anonymous reviewer for helpful comments on an earlier version of this paper.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],4
WOS:000233669500009,"I would like to thank Frank Arntzenius, David Manley, and Chris Meacham for much helpful discussion. I am also especially indebted to Elliott Sober and an anonymous referee for their generous and illuminating comments on an earlier draft of this paper.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],5
WOS:000233669500010,"I would like to thank the AHRB for providing a term of sabbatical leave in the spring of 2003 during which I was able to work on this paper. Earlier versions of this paper were read at the Philosophy Department’s seminar in King’s College London and at Birkbeck Philosophy Society. I would like to thank those who offered many helpful comments on those occasions. Drafts of the paper were read by Raffaella Campaner, David Corfield, Ladislav Kvasz, David Papineau, Jon Williamson, and two anonymous referees. I am grateful for their comments and criticisms, which have helped to improve the paper.",https://ror.org/0505m1554,"Arts and Humanities Research Council - United Kingdom (<a href=""https://ror.org/0505m1554"" target=""_blank"">https://ror.org/0505m1554</a>)",6
WOS:000233669500011,"We thank Christopher Hitchcock for many useful discussions, for his numerous comments on earlier versions of the paper, and for pointing out Example 5.1; Mark Hopkins, James Park, Wolfgang Spohn, and Zoltan Szabo for stimulating discussions; and Eric Hiddleston for pointing out Example 5.2. Joseph Halpern supported in part by NSF under grant IRI- 96-25901 and the DoD Multidisciplinary University Research Initiative (MURI) program administered by the ONR under grant N00014-01-1- 0795; Judea Pearl supported in part by grants from NSF, ONR, AFOSR, and MICRO.",,,7
WOS:000233669500012,"Thanks to Riccardo Pucella and Vicky Weissman for useful comments. Joseph Halpern supported in part by NSF under grant IRI-96-25901 and the DoD Multidisciplinary University Research Initiative (MURI) program administered by the ONR under grant N00014-01-1-0795; Judea Pearl sup- ported in part by grants from NSF, ONR, AFOSR, and MICRO.",,,8
WOS:000237909800002,0,,,9
WOS:000237909800003,"A precursor of this paper was presented at Workshop ‘‘Coherence’’ held in Bielefeld, Germany in September 2003. I would like to thank the organizer Ulrich Gahde and the participants of the workshop for the stimulating discussion. I am particularly grateful to one participant, who later served as an anonymous referee for this volume, for valuable written comments. I also benefited greatly from detailed and insightful comments by an anonymous referee for Erkenntnis.",,,10
WOS:000237909800004,"This paper grew out of the project Explanatory Coherence, funded by the Deutsche Forschungsgemeinschaft. I would like to thank Adelheid Baker, Thomas Bartelborth, Richard Booth, Luc Bovens, Branden Fitelson, Wouter Meijs, Luca Moretti, Erik Olsson, Mark Textor and Werner Wolff for many helpful comments on precursors of this contribution or related papers.",https://ror.org/018mejw64,"Deutsche Forschungsgemeinschaft - Germany (<a href=""https://ror.org/018mejw64"" target=""_blank"">https://ror.org/018mejw64</a>)",11
WOS:000237909800005,"We are grateful for the support of the Alexander von Humboldt Foundation, the Federal Ministry of Education and Research and the Program for the Investment in the Future (ZIP) of the German Government through a Sofja Kovalevskaja Award.",https://ror.org/012kf4317;https://ror.org/04pz7b180;https://ror.org/048nacf41;https://ror.org/00c33a344;https://ror.org/00nmgny79,"Alexander von Humboldt Foundation - Germany (<a href=""https://ror.org/012kf4317"" target=""_blank"">https://ror.org/012kf4317</a>)<br>Federal Ministry of Education and Research - Germany (<a href=""https://ror.org/04pz7b180"" target=""_blank"">https://ror.org/04pz7b180</a>)<br>Federal Government of Germany - Germany (<a href=""https://ror.org/048nacf41"" target=""_blank"">https://ror.org/048nacf41</a>)<br>American Friends of the Alexander von Humboldt Foundation - United States (<a href=""https://ror.org/00c33a344"" target=""_blank"">https://ror.org/00c33a344</a>)<br>Bundeswehr - Germany (<a href=""https://ror.org/00nmgny79"" target=""_blank"">https://ror.org/00nmgny79</a>)",12
WOS:000237909800006,"I would like to thank Branden Fitelson, Erik Olsson, Tomoji Shogenji and Alan Weir for extremely helpful comments on earlier drafts of this paper. I am also very grateful to the referees for important suggestions on a number of points.",,,13
WOS:000237909800007,"
I would like to thank Mark Siebel and Staffan Angere for their helpful comments on an earlier version.",,,14
WOS:000237909800008,0,,,15
WOS:000235089200001,"For helpful comments, we wish to thank Claus Beisbart, Ludwig Fahrbach, Branden Fitelson, Stephan Hartmann, Franz Huber, Erik Olsson, Tomoji Shogenji, and the referees of this journal. For supporting this research, we are also grateful to the Alexander von Humboldt Foundation, the Federal Ministry of Education and Research, and the Program for the Investment in the Future (ZIP) of the German Government.",,,16
WOS:000235089200002,"I am grateful to Martin Carrier, Ulrich Krohs, Eva Neumann-Held, David Papineau, and Richard Samuels for their comments on different versions of the manuscript, and to Wilfried Meyer-Viol for helping me to think about structure-preservation. I also wish to acknowledge the comments of two referees. Research was supported by the Deutsche Akademie der Naturforscher Leopoldina through funds from the German Ministry of Education and Research (BMBF-LPD 9901/8-83).",,,17
WOS:000235089200003,"I would like to thank the anonymous referees for their very useful comments. Previous versions of this article were presented at the University of Paris-Sorbonne in February 2003, at the annual meeting of the Society for Philosophy and Psychology in June 2003, at the Congress of Logic, Methodology and Philosophy of Science in August 2003, at the SOPHA in September 2003, at the Max-Planck Institute for Human Development in March 2004, and at the University of Pittsburgh in April 2004.",,,18
WOS:000235089200004,"I thank William Demopoulos, Steven Savitt, and two anonymous referees who pointed out to me ambiguities and errors in earlier drafts, and the audience of the 12th Foundations of Physics Conference in Leeds, UK (2003), where the ideas appearing here were first presented. Financial aid from the University of British Columbia Graduate Fellowship and the St. John's College Reginald and Annie Van Fellowship, as well as from the Alexander von Humboldt Foundation, the Federal Ministry of Education and Research and the Program for the Investment in the Future (ZIP) of the German Government through a Sofja Kovalevskaja Award is gratefully acknowledged.",https://ror.org/03rmrcq20;https://ror.org/012kf4317;https://ror.org/04pz7b180;https://ror.org/048nacf41,"University of British Columbia - Canada (<a href=""https://ror.org/03rmrcq20"" target=""_blank"">https://ror.org/03rmrcq20</a>)<br>Alexander von Humboldt Foundation - Germany (<a href=""https://ror.org/012kf4317"" target=""_blank"">https://ror.org/012kf4317</a>)<br>Federal Ministry of Education and Research - Germany (<a href=""https://ror.org/04pz7b180"" target=""_blank"">https://ror.org/04pz7b180</a>)<br>Federal Government of Germany - Germany (<a href=""https://ror.org/048nacf41"" target=""_blank"">https://ror.org/048nacf41</a>)",19
WOS:000239270900001,0,,,20
WOS:000239270900002,"We are grateful to Michael Dickson, Gerard Emch, Hans Halvorson, and Wayne Myrvold for helpful comments on earlier drafts of this paper. Needless to say, this does not imply that they agree with the opinions expressed herein.",,,21
WOS:000239270900003,"I am very grateful to Donald Gillies, Colin Howson, and Alan Musgrave for preliminary discussions; to Paul Humphreys and Stefanie Mehret for comments on a first version; to Volker Gadenne; and to three anonymous referees. To one of the referees, I am especially indebted for many helpful suggestions.",,,22
WOS:000239270900004,"I owe special thanks to Elliott Sober, Wayne Myrvold, and especially Timothy McGrew, for helpful correspondence.",,,23
WOS:000239270900005,"I would like to thank Elliot Sober, Collin Allen, and the anonymous referees at Philosophy of Science for helpful comments.",,,24
WOS:000244719000002,"I wish to thank Andreas Huttemann for organizing and inviting me to the conference “Determinism in Physics and Biology” (ZiF, University of Bielefeld, July 2002), from which my research on indeterminism in neurobiology has benefited greatly.",,,25
WOS:000244719000003,"In preparing the final draft of this paper, I have been in e-mail correspondence with Ruth Millikan and Dan Ryder. I would like to thank them for their assistance. Of course, all interpretations, opinions, and errors are solely my own responsibility.",,,26
WOS:000244719000004,"Thanks to Marc Ereshefsky and Anthony Russell for many helpful discussions and encouragement, and to Ingo Brigandt for insightful comments on an earlier draft.",,,27
